Ano;Estado;Denominacao;Quantidade
2015;SÃO PAULO;20;9.910,00
2015;SÃO PAULO;20;15.881,00
2015;SÃO PAULO;50;18.582,00
2015;SÃO PAULO;50;12.867,00
2015;SÃO PAULO;100;47.279,00
2015;SÃO PAULO;100;46.282,00
2015;SERGIPE;2;3
2015;SERGIPE;2;4
2015;SERGIPE;5;8
2015;SERGIPE;5;80
2015;SERGIPE;10;21
2015;SERGIPE;10;484
2015;SERGIPE;20;25
2015;SERGIPE;20;416
2015;SERGIPE;50;128
2015;SERGIPE;50;1.608,00
2015;SERGIPE;100;108
2015;SERGIPE;100;1.357,00
2015;TOCANTINS;5;4
2015;TOCANTINS;5;5
2015;TOCANTINS;10;1
2015;TOCANTINS;10;7
2015;TOCANTINS;10;7
2015;TOCANTINS;20;30
2015;TOCANTINS;20;162
2015;TOCANTINS;50;110
2015;TOCANTINS;50;207
2015;TOCANTINS;100;470
2015;TOCANTINS;100;1.543,00
