ano,estado,familia,denominacao,quantidade
2000,BAHIA,1,00,13,00
2000,BAHIA,5,00,851,00
2000,BAHIA,10,00,8.202,00
2000,BAHIA,50,00,4.238,00
2000,BAHIA,100,00,110,00
2000,CEARÁ,1,00,3,00
2000,CEARÁ,5,00,403,00
2000,CEARÁ,10,00,1.609,00
2000,CEARÁ,50,00,1.300,00
2000,CEARÁ,100,00,42,00
2000,DISTRITO FEDERAL,1,00,8,00
2000,DISTRITO FEDERAL,5,00,411,00
2000,DISTRITO FEDERAL,10,00,2.939,00
2000,DISTRITO FEDERAL,50,00,4.359,00
2000,DISTRITO FEDERAL,100,00,212,00
2000,ESPÍRITO SANTO,1,00,4,00
2000,ESPÍRITO SANTO,5,00,84,00
2000,ESPÍRITO SANTO,10,00,1,00
2000,ESPÍRITO SANTO,10,00,824,00
2000,ESPÍRITO SANTO,50,00,1.305,00
2000,ESPÍRITO SANTO,100,00,19,00
2000,GOIÁS,1,00,1,00
2000,GOIÁS,5,00,225,00
2000,GOIÁS,10,00,2.926,00
2000,GOIÁS,50,00,3.240,00
2000,GOIÁS,100,00,147,00
2000,MARANHÃO,1,00,1,00
2000,MARANHÃO,5,00,45,00
2000,MARANHÃO,10,00,737,00
2000,MARANHÃO,50,00,592,00
2000,MARANHÃO,100,00,19,00
2000,MATO GROSSO,5,00,22,00
2000,MATO GROSSO,10,00,313,00
2000,MATO GROSSO,50,00,1.374,00
2000,MATO GROSSO,100,00,65,00
2000,MATO GROSSO DO SUL,5,00,16,00
2000,MATO GROSSO DO SUL,10,00,531,00
2000,MATO GROSSO DO SUL,50,00,3.199,00
2000,MATO GROSSO DO SUL,100,00,64,00
2000,MINAS GERAIS,1,00,8,00
2000,MINAS GERAIS,5,00,1.558,00
2000,MINAS GERAIS, ,10,00,2,00
2000,MINAS GERAIS,10,00,15.322,00
2000,MINAS GERAIS,50,00,13.828,00
2000,MINAS GERAIS,100,00,359,00
2000,PARÁ,1,00,4,00
2000,PARÁ,5,00,193,00
2000,PARÁ,10,00,690,00
2000,PARÁ,50,00,588,00
2000,PARÁ,100,00,37,00
2000,PARAÍBA,1,00,1,00
2000,PARAÍBA,5,00,49,00
2000,PARAÍBA,10,00,481,00
2000,PARAÍBA,50,00,374,00
2000,PARAÍBA,100,00,14,00
2000,PARANÁ,1,00,9,00
2000,PARANÁ,5,00,436,00
2000,PARANÁ,10,00,4.408,00
2000,PARANÁ,50,00,6.022,00
2000,PARANÁ,100,00,424,00
2000,PERNAMBUCO,1,00,130,00
2000,PERNAMBUCO,5,00,2.338,00
2000,PERNAMBUCO, ,10,00,11,00
2000,PERNAMBUCO,10,00,10.516,00
2000,PERNAMBUCO,50,00,3.386,00
2000,PERNAMBUCO,100,00,122,00
2000,PIAUÍ,5,00,39,00
2000,PIAUÍ,10,00,423,00
2000,PIAUÍ,50,00,247,00
2000,PIAUÍ,100,00,17,00
2000,RIO DE JANEIRO,1,00,8,00
2000,RIO DE JANEIRO,5,00,2.715,00
2000,RIO DE JANEIRO, ,10,00,1,00
2000,RIO DE JANEIRO,10,00,9.907,00
2000,RIO DE JANEIRO,50,00,22.568,00
2000,RIO DE JANEIRO,100,00,371,00
2000,RIO GRANDE DO NORTE,1,00,2,00
2000,RIO GRANDE DO NORTE,5,00,101,00
2000,RIO GRANDE DO NORTE,10,00,600,00
2000,RIO GRANDE DO NORTE,50,00,301,00
2000,RIO GRANDE DO NORTE,100,00,23,00
2000,RIO GRANDE DO SUL,1,00,44,00
2000,RIO GRANDE DO SUL,5,00,581,00
2000,RIO GRANDE DO SUL,10,00,11.648,00
2000,RIO GRANDE DO SUL,50,00,4.595,00
2000,RIO GRANDE DO SUL,100,00,541,00
2000,RONDÔNIA,5,00,29,00
2000,RONDÔNIA,10,00,76,00
2000,RONDÔNIA,50,00,555,00
2000,RONDÔNIA,100,00,22,00
2000,RORAIMA,10,00,20,00
2000,RORAIMA,50,00,105,00
2000,RORAIMA,100,00,51,00
2000,SANTA CATARINA,1,00,3,00
2000,SANTA CATARINA,5,00,83,00
2000,SANTA CATARINA,10,00,1.743,00
2000,SANTA CATARINA,50,00,2.374,00
2000,SANTA CATARINA,100,00,111,00
2000,SÃO PAULO,1,00,50,00
2000,SÃO PAULO,5,00,5.456,00
2000,SÃO PAULO, ,10,00,85,00
2000,SÃO PAULO,10,00,98.564,00
2000,SÃO PAULO,50,00,55.283,00
2000,SÃO PAULO,100,00,1.519,00
2000,SERGIPE,1,00,1,00
2000,SERGIPE,5,00,66,00
2000,SERGIPE,10,00,923,00
2000,SERGIPE,50,00,555,00
2000,SERGIPE,100,00,17,00
2000,TOCANTINS,5,00,33,00
2000,TOCANTINS,10,00,316,00
2000,TOCANTINS,50,00,132,00
2000,TOCANTINS,100,00,14,00
2001,ACRE,5,00,3,00
2001,ACRE,10,00,154,00
2001,ACRE,50,00,448,00
2001,ACRE,100,00,1,00
2001,ALAGOAS,1,00,5,00
2001,ALAGOAS,5,00,264,00
2001,ALAGOAS, ,10,00,47,00
2001,ALAGOAS,10,00,1.234,00
2001,ALAGOAS,50,00,714,00
2001,ALAGOAS,100,00,12,00
2001,AMAPÁ,5,00,3,00
2001,AMAPÁ,10,00,89,00
2001,AMAPÁ,50,00,145,00
2001,AMAPÁ,100,00,2,00
2001,AMAZONAS,1,00,7,00
2001,AMAZONAS,5,00,54,00
2001,AMAZONAS, ,10,00,23,00
2001,AMAZONAS,10,00,345,00
2001,AMAZONAS,50,00,185,00
2001,AMAZONAS,100,00,89,00
2001,BAHIA,1,00,10,00
2001,BAHIA,5,00,748,00
2001,BAHIA, ,10,00,657,00
2001,BAHIA,10,00,6.517,00
2001,BAHIA,50,00,4.943,00
2001,BAHIA,100,00,44,00
2001,CEARÁ,1,00,3,00
2001,CEARÁ,5,00,1.189,00
2001,CEARÁ, ,10,00,93,00
2001,CEARÁ,10,00,4.738,00
2001,CEARÁ,50,00,2.533,00
2001,CEARÁ,100,00,34,00
2001,DISTRITO FEDERAL,1,00,6,00
2001,DISTRITO FEDERAL,5,00,2.072,00
2001,DISTRITO FEDERAL, ,10,00,33,00
2001,DISTRITO FEDERAL,10,00,9.550,00
2001,DISTRITO FEDERAL,50,00,4.094,00
2001,DISTRITO FEDERAL,100,00,43,00
2001,ESPÍRITO SANTO,1,00,2,00
2001,ESPÍRITO SANTO,5,00,251,00
2001,ESPÍRITO SANTO, ,10,00,10,00
2001,ESPÍRITO SANTO,10,00,1.352,00
2001,ESPÍRITO SANTO,50,00,1.360,00
2001,ESPÍRITO SANTO,100,00,9,00
2001,GOIÁS,1,00,3,00
2001,GOIÁS,5,00,757,00
2001,GOIÁS, ,10,00,64,00
2001,GOIÁS,10,00,4.899,00
2001,GOIÁS,50,00,3.594,00
2001,GOIÁS,100,00,71,00
2001,MARANHÃO,1,00,1,00
2001,MARANHÃO,5,00,213,00
2001,MARANHÃO, ,10,00,28,00
2001,MARANHÃO,10,00,1.302,00
2001,MARANHÃO,50,00,822,00
2001,MARANHÃO,100,00,14,00
2001,MATO GROSSO,1,00,1,00
2001,MATO GROSSO,5,00,44,00
2001,MATO GROSSO,10,00,346,00
2001,MATO GROSSO,50,00,1.680,00
2001,MATO GROSSO,100,00,44,00
2001,MATO GROSSO DO SUL,5,00,46,00
2001,MATO GROSSO DO SUL, ,10,00,18,00
2001,MATO GROSSO DO SUL,10,00,736,00
2001,MATO GROSSO DO SUL,50,00,4.132,00
2001,MATO GROSSO DO SUL,100,00,22,00
2001,MINAS GERAIS,1,00,18,00
2001,MINAS GERAIS,5,00,1.880,00
2001,MINAS GERAIS, ,10,00,536,00
2001,MINAS GERAIS,10,00,23.781,00
2001,MINAS GERAIS,20,00,9,00
2001,MINAS GERAIS,50,00,14.118,00
2001,MINAS GERAIS,100,00,160,00
2001,PARÁ,1,00,1,00
2001,PARÁ,5,00,493,00
2001,PARÁ, ,10,00,59,00
2001,PARÁ,10,00,2.472,00
2001,PARÁ,50,00,1.487,00
2001,PARÁ,100,00,16,00
2001,PARAÍBA,1,00,3,00
2001,PARAÍBA,5,00,78,00
2001,PARAÍBA, ,10,00,18,00
2001,PARAÍBA,10,00,574,00
2001,PARAÍBA,50,00,439,00
2001,PARAÍBA,100,00,7,00
2001,PARANÁ,1,00,26,00
2001,PARANÁ,5,00,843,00
2001,PARANÁ, ,10,00,108,00
2001,PARANÁ,10,00,8.261,00
2001,PARANÁ,50,00,8.922,00
2001,PARANÁ,100,00,113,00
2001,PERNAMBUCO,1,00,180,00
2001,PERNAMBUCO,5,00,3.811,00
2001,PERNAMBUCO, ,10,00,342,00
2001,PERNAMBUCO,10,00,6.900,00
2001,PERNAMBUCO,50,00,3.999,00
2001,PERNAMBUCO,100,00,32,00
2001,PIAUÍ,1,00,1,00
2001,PIAUÍ,5,00,135,00
2001,PIAUÍ, ,10,00,42,00
2001,PIAUÍ,10,00,688,00
2001,PIAUÍ,50,00,1.150,00
2001,PIAUÍ,100,00,8,00
2001,RIO DE JANEIRO,1,00,12,00
2001,RIO DE JANEIRO,5,00,3.079,00
2001,RIO DE JANEIRO, ,10,00,168,00
2001,RIO DE JANEIRO,10,00,19.586,00
2001,RIO DE JANEIRO,50,00,20.766,00
2001,RIO DE JANEIRO,100,00,224,00
2001,RIO GRANDE DO NORTE,1,00,3,00
2001,RIO GRANDE DO NORTE,5,00,69,00
2001,RIO GRANDE DO NORTE, ,10,00,2,00
2001,RIO GRANDE DO NORTE,10,00,764,00
2001,RIO GRANDE DO NORTE,50,00,902,00
2001,RIO GRANDE DO NORTE,100,00,8,00
2001,RIO GRANDE DO SUL,1,00,14,00
2001,RIO GRANDE DO SUL,5,00,3.606,00
2001,RIO GRANDE DO SUL, ,10,00,245,00
2001,RIO GRANDE DO SUL,10,00,16.889,00
2001,RIO GRANDE DO SUL,50,00,7.886,00
2001,RIO GRANDE DO SUL,100,00,269,00
2001,RONDÔNIA,5,00,47,00
2001,RONDÔNIA, ,10,00,1,00
2001,RONDÔNIA,10,00,628,00
2001,RONDÔNIA,50,00,628,00
2001,RONDÔNIA,100,00,64,00
2001,RORAIMA,10,00,12,00
2001,RORAIMA,50,00,60,00
2001,RORAIMA,100,00,10,00
2001,SANTA CATARINA,5,00,304,00
2001,SANTA CATARINA, ,10,00,15,00
2001,SANTA CATARINA,10,00,2.058,00
2001,SANTA CATARINA,50,00,3.802,00
2001,SANTA CATARINA,100,00,22,00
2001,SÃO PAULO,1,00,40,00
2001,SÃO PAULO,5,00,10.216,00
2001,SÃO PAULO, ,10,00,4.589,00
2001,SÃO PAULO,10,00,82.702,00
2001,SÃO PAULO,50,00,53.865,00
2001,SÃO PAULO,100,00,704,00
2001,SERGIPE,5,00,84,00
2001,SERGIPE, ,10,00,63,00
2001,SERGIPE,10,00,1.174,00
2001,SERGIPE,50,00,684,00
2001,SERGIPE,100,00,4,00
2001,TOCANTINS,5,00,51,00
2001,TOCANTINS, ,10,00,1,00
2001,TOCANTINS,10,00,336,00
2001,TOCANTINS,50,00,389,00
2001,TOCANTINS,100,00,2,00
2002,ACRE,5,00,1,00
2002,ACRE,10,00,26,00
2002,ACRE,50,00,133,00
2002,ACRE,100,00,3,00
2002,ALAGOAS,1,00,2,00
2002,ALAGOAS,5,00,112,00
2002,ALAGOAS, ,10,00,5,00
2002,ALAGOAS,10,00,779,00
2002,ALAGOAS,20,00,36,00
2002,ALAGOAS,50,00,702,00
2002,ALAGOAS,100,00,6,00
2002,AMAPÁ,10,00,36,00
2002,AMAPÁ,50,00,67,00
2002,AMAPÁ,100,00,1,00
2002,AMAZONAS,1,00,2,00
2002,AMAZONAS,2,00,33,00
2002,AMAZONAS,5,00,232,00
2002,AMAZONAS, ,10,00,2,00
2002,AMAZONAS,10,00,319,00
2002,AMAZONAS,20,00,1,00
2002,AMAZONAS,50,00,240,00
2002,AMAZONAS,100,00,259,00
2002,BAHIA,1,00,9,00
2002,BAHIA,2,00,13,00
2002,BAHIA,5,00,2.319,00
2002,BAHIA, ,10,00,86,00
2002,BAHIA,10,00,9.710,00
2002,BAHIA,20,00,255,00
2002,BAHIA,50,00,5.718,00
2002,BAHIA,100,00,26,00
2002,CEARÁ,2,00,3,00
2002,CEARÁ,5,00,302,00
2002,CEARÁ, ,10,00,23,00
2002,CEARÁ,10,00,4.214,00
2002,CEARÁ,20,00,317,00
2002,CEARÁ,50,00,2.272,00
2002,CEARÁ,100,00,35,00
2002,DISTRITO FEDERAL,1,00,6,00
2002,DISTRITO FEDERAL,2,00,26,00
2002,DISTRITO FEDERAL,5,00,1.832,00
2002,DISTRITO FEDERAL, ,10,00,31,00
2002,DISTRITO FEDERAL,10,00,7.587,00
2002,DISTRITO FEDERAL,20,00,160,00
2002,DISTRITO FEDERAL,50,00,4.533,00
2002,DISTRITO FEDERAL,100,00,34,00
2002,ESPÍRITO SANTO,5,00,104,00
2002,ESPÍRITO SANTO, ,10,00,1,00
2002,ESPÍRITO SANTO,10,00,1.691,00
2002,ESPÍRITO SANTO,20,00,75,00
2002,ESPÍRITO SANTO,50,00,5.291,00
2002,ESPÍRITO SANTO,100,00,12,00
2002,GOIÁS,1,00,5,00
2002,GOIÁS,2,00,18,00
2002,GOIÁS,5,00,1.736,00
2002,GOIÁS, ,10,00,40,00
2002,GOIÁS,10,00,6.175,00
2002,GOIÁS,20,00,109,00
2002,GOIÁS,50,00,7.344,00
2002,GOIÁS,100,00,66,00
2002,MARANHÃO,1,00,21,00
2002,MARANHÃO,2,00,1,00
2002,MARANHÃO,5,00,261,00
2002,MARANHÃO, ,10,00,1,00
2002,MARANHÃO,10,00,1.463,00
2002,MARANHÃO,20,00,258,00
2002,MARANHÃO,50,00,939,00
2002,MARANHÃO,100,00,16,00
2002,MATO GROSSO,5,00,153,00
2002,MATO GROSSO, ,10,00,19,00
2002,MATO GROSSO,10,00,622,00
2002,MATO GROSSO,20,00,17,00
2002,MATO GROSSO,50,00,1.104,00
2002,MATO GROSSO,100,00,45,00
2002,MATO GROSSO DO SUL,2,00,1,00
2002,MATO GROSSO DO SUL,5,00,73,00
2002,MATO GROSSO DO SUL, ,10,00,13,00
2002,MATO GROSSO DO SUL,10,00,1.140,00
2002,MATO GROSSO DO SUL,20,00,7,00
2002,MATO GROSSO DO SUL,50,00,2.683,00
2002,MATO GROSSO DO SUL,100,00,28,00
2002,MINAS GERAIS,1,00,13,00
2002,MINAS GERAIS,2,00,38,00
2002,MINAS GERAIS,5,00,3.488,00
2002,MINAS GERAIS, ,10,00,70,00
2002,MINAS GERAIS,10,00,19.606,00
2002,MINAS GERAIS,20,00,1.264,00
2002,MINAS GERAIS,50,00,22.720,00
2002,MINAS GERAIS,100,00,178,00
2002,NAO INFORMADO,10,00,14,00
2002,NAO INFORMADO,50,00,7,00
2002,PARÁ,1,00,14,00
2002,PARÁ,2,00,11,00
2002,PARÁ,5,00,584,00
2002,PARÁ, ,10,00,9,00
2002,PARÁ,10,00,2.109,00
2002,PARÁ,20,00,286,00
2002,PARÁ,50,00,2.169,00
2002,PARÁ,100,00,57,00
2002,PARAÍBA,2,00,2,00
2002,PARAÍBA,5,00,158,00
2002,PARAÍBA, ,10,00,5,00
2002,PARAÍBA,10,00,718,00
2002,PARAÍBA,20,00,43,00
2002,PARAÍBA,50,00,1.229,00
2002,PARAÍBA,100,00,7,00
2002,PARANÁ,1,00,7,00
2002,PARANÁ,2,00,66,00
2002,PARANÁ,5,00,2.663,00
2002,PARANÁ, ,10,00,64,00
2002,PARANÁ,10,00,14.030,00
2002,PARANÁ,20,00,910,00
2002,PARANÁ,50,00,6.697,00
2002,PARANÁ,100,00,140,00
2002,PERNAMBUCO,1,00,256,00
2002,PERNAMBUCO,2,00,5,00
2002,PERNAMBUCO,5,00,3.480,00
2002,PERNAMBUCO, ,10,00,19,00
2002,PERNAMBUCO,10,00,9.469,00
2002,PERNAMBUCO,20,00,77,00
2002,PERNAMBUCO,50,00,6.675,00
2002,PERNAMBUCO,100,00,35,00
2002,PIAUÍ,2,00,1,00
2002,PIAUÍ,5,00,159,00
2002,PIAUÍ, ,10,00,17,00
2002,PIAUÍ,10,00,1.323,00
2002,PIAUÍ,20,00,28,00
2002,PIAUÍ,50,00,884,00
2002,PIAUÍ,100,00,9,00
2002,RIO DE JANEIRO,1,00,13,00
2002,RIO DE JANEIRO,2,00,46,00
2002,RIO DE JANEIRO,5,00,2.843,00
2002,RIO DE JANEIRO, ,10,00,293,00
2002,RIO DE JANEIRO,10,00,13.901,00
2002,RIO DE JANEIRO,20,00,982,00
2002,RIO DE JANEIRO,50,00,22.308,00
2002,RIO DE JANEIRO,100,00,84,00
2002,RIO GRANDE DO NORTE,1,00,1,00
2002,RIO GRANDE DO NORTE,5,00,229,00
2002,RIO GRANDE DO NORTE,10,00,1.148,00
2002,RIO GRANDE DO NORTE,20,00,49,00
2002,RIO GRANDE DO NORTE,50,00,797,00
2002,RIO GRANDE DO NORTE,100,00,59,00
2002,RIO GRANDE DO SUL,1,00,27,00
2002,RIO GRANDE DO SUL,2,00,343,00
2002,RIO GRANDE DO SUL,5,00,1.621,00
2002,RIO GRANDE DO SUL, ,10,00,22,00
2002,RIO GRANDE DO SUL,10,00,14.094,00
2002,RIO GRANDE DO SUL,20,00,1.185,00
2002,RIO GRANDE DO SUL,50,00,15.258,00
2002,RIO GRANDE DO SUL,100,00,213,00
2002,RONDÔNIA,5,00,18,00
2002,RONDÔNIA, ,10,00,4,00
2002,RONDÔNIA,10,00,322,00
2002,RONDÔNIA,20,00,2,00
2002,RONDÔNIA,50,00,863,00
2002,RONDÔNIA,100,00,42,00
2002,RORAIMA,5,00,14,00
2002,RORAIMA,10,00,10,00
2002,RORAIMA,50,00,13,00
2002,RORAIMA,100,00,6,00
2002,SANTA CATARINA,1,00,1,00
2002,SANTA CATARINA,2,00,12,00
2002,SANTA CATARINA,5,00,276,00
2002,SANTA CATARINA, ,10,00,10,00
2002,SANTA CATARINA,10,00,2.310,00
2002,SANTA CATARINA,20,00,105,00
2002,SANTA CATARINA,50,00,5.464,00
2002,SANTA CATARINA,100,00,40,00
2002,SÃO PAULO,1,00,27,00
2002,SÃO PAULO,2,00,98,00
2002,SÃO PAULO,5,00,7.779,00
2002,SÃO PAULO, ,10,00,338,00
2002,SÃO PAULO,10,00,73.519,00
2002,SÃO PAULO,20,00,4.015,00
